247.34	95	0.95	234.973
81.9	95	0.95	77.805
56.14	90	0.9	50.526
104.65	90	0.9	94.185
73.21	90	0.9	65.889
12.97	90	0.9	11.673
84.98	90	0.9	76.482
42.56	90	0.9	38.304
109.17	90	0.9	98.253
62.06	90	0.9	55.854
180.9	88	0.88	159.192
100.3	88	0.88	88.264
115.87	88	0.88	101.9656
293.7	88	0.88	258.456
11.3	88	0.88	9.944
128.29	88	0.88	112.8952
270.62	80	0.8	216.496
131.78	80	0.8	105.424
154.74	80	0.8	123.792
59.42	80	0.8	47.536
251.03	80	0.8	200.824
289.69	80	0.8	231.752
166.3	78	0.78	129.714
255.89	78	0.78	199.5942
141.16	78	0.78	110.1048
208.39	75	0.75	156.2925
128.88	75	0.75	96.66
225.87	75	0.75	169.4025
12.89	75	0.75	9.6675
34.28	75	0.75	25.71
278.44	70	0.7	194.908
113.35	68	0.68	77.078
146.69	68	0.68	99.7492
85.44	68	0.68	58.0992
10.25	65	0.65	6.6625
26.75	65	0.65	17.3875
139.33	65	0.65	90.5645
261.79	65	0.65	170.1635
240.28	58	0.58	139.3624
125.5	58	0.58	72.79
268.27	58	0.58	155.5966
62.16	58	0.58	36.0528
297.15	50	0.5	148.575
130.62	50	0.5	65.31
101	50	0.5	50.5
79.54	50	0.5	39.77
199.26	50	0.5	99.63
166.57	50	0.5	83.285
129.12	50	0.5	64.56
218.37	50	0.5	109.185
			
			5136.8595
